,customer_id,last_purchase,frequency,monetary,avg_order_value,recency,churn,Segment
0,C10,2023-08-30,1,0.5670680106047458,0.5670680106047458,823,1,At-Risk Customer
1,C1000,2023-08-16,1,57.29481056007075,57.29481056007075,837,1,At-Risk Customer
2,C1002,2024-05-24,4,-508.8322668432241,-127.20806671080602,555,1,New Customer
3,C1005,2025-08-26,48,-60.08850472639015,-1.2518438484664614,96,0,Loyal High-Value Customer
4,C1006,2024-02-10,1,-216.76575083709136,-216.76575083709136,659,1,At-Risk Customer
5,C1008,2023-07-18,1,195.2736610043855,195.2736610043855,866,1,Occassional Buyer Customer
6,C1009,2024-02-05,1,-105.79881525686248,-105.79881525686248,664,1,At-Risk Customer
7,C101,2024-05-10,4,877.4228178630516,219.3557044657629,569,1,Occassional Buyer Customer
8,C1010,2023-04-10,1,-421.6884158759788,-421.6884158759788,965,1,At-Risk Customer
9,C1014,2024-06-26,8,540.4027468151667,67.55034335189583,522,1,Occassional Buyer Customer
10,C1015,2025-05-13,1,376.217532493018,376.217532493018,201,0,Occassional Buyer Customer
11,C1016,2022-09-15,1,-24.588481622761936,-24.588481622761936,1172,1,At-Risk Customer
12,C1017,2024-11-06,8,-48.15173450372629,-6.018966812965786,389,1,New Customer
13,C1018,2023-12-24,1,-141.59792467604078,-141.59792467604078,707,1,At-Risk Customer
14,C1019,2024-01-23,8,2989.5838338856975,373.6979792357122,677,1,Occassional Buyer Customer
15,C1020,2025-07-30,48,3027.617369492051,63.07536186441772,123,0,Loyal High-Value Customer
16,C1021,2025-02-06,1,-452.1100885548884,-452.1100885548884,297,0,New Customer
17,C1024,2024-06-02,1,-374.3103748340096,-374.3103748340096,546,1,At-Risk Customer
18,C1025,2022-09-25,1,-191.4198429589196,-191.4198429589196,1162,1,At-Risk Customer
19,C1026,2025-05-22,8,-1271.3602120835765,-158.92002651044706,192,0,New Customer
20,C1028,2024-08-17,1,-159.8965106052134,-159.8965106052134,470,1,New Customer
21,C1029,2025-07-23,1,-335.9854295484639,-335.9854295484639,130,0,New Customer
22,C1030,2023-03-09,1,-437.5724535597457,-437.5724535597457,997,1,At-Risk Customer
23,C1031,2025-04-24,18,1542.1152933967344,85.67307185537413,220,0,Occassional Buyer Customer
24,C1032,2025-01-25,8,-582.0010202687231,-72.75012753359039,309,0,New Customer
25,C1033,2025-03-07,9,-1176.729076202119,-130.74767513356878,268,0,New Customer
26,C1034,2025-01-14,18,1417.034393789743,78.72413298831906,320,0,Occassional Buyer Customer
27,C1037,2025-04-08,32,-1447.980834999805,-45.249401093743906,236,0,New Customer
28,C1039,2025-02-28,18,-1200.3372483785306,-66.68540268769614,275,0,New Customer
29,C1041,2025-09-24,32,538.772437708805,16.836638678400156,67,0,Loyal High-Value Customer
30,C1042,2024-11-11,1,45.258321607277885,45.258321607277885,384,1,Occassional Buyer Customer
31,C1045,2024-12-14,1,144.50092692935257,144.50092692935257,351,0,Occassional Buyer Customer
32,C1046,2023-10-23,1,314.79066469165474,314.79066469165474,769,1,Occassional Buyer Customer
33,C1047,2025-02-20,1,-117.73466178364671,-117.73466178364671,283,0,New Customer
34,C105,2025-06-21,9,536.517942974615,59.61310477495723,162,0,New Customer
35,C1050,2024-10-15,9,-288.93770933886486,-32.10418992654054,411,1,New Customer
36,C1051,2025-07-11,8,-2183.39661015205,-272.92457626900625,142,0,New Customer
37,C1052,2022-11-24,1,-43.82747447092308,-43.82747447092308,1102,1,At-Risk Customer
38,C1053,2025-02-04,18,-1324.3007288141653,-73.57226271189808,299,0,New Customer
39,C1055,2023-08-30,8,1647.822651844586,205.97783148057326,823,1,Occassional Buyer Customer
40,C1056,2024-05-24,8,-992.5363975690454,-124.06704969613068,555,1,New Customer
41,C1058,2025-08-19,1,150.66972888874758,150.66972888874758,103,0,Occassional Buyer Customer
42,C1059,2023-11-03,4,625.6716196729575,156.41790491823937,758,1,Occassional Buyer Customer
43,C106,2025-07-31,27,-940.3654858723523,-34.82835132860564,122,0,New Customer
44,C1060,2023-01-30,1,164.6248124047998,164.6248124047998,1035,1,Occassional Buyer Customer
45,C1064,2022-08-28,1,-45.00755175595798,-45.00755175595798,1190,1,At-Risk Customer
46,C1065,2025-01-18,1,-28.847636475138323,-28.847636475138323,316,0,New Customer
47,C1066,2025-03-06,8,815.9302910786835,101.99128638483543,269,0,Occassional Buyer Customer
48,C1067,2024-06-04,1,6.360415984979638,6.360415984979638,544,1,Occassional Buyer Customer
49,C1068,2024-06-12,4,-588.6016049837293,-147.15040124593233,536,1,New Customer
50,C1069,2025-06-30,1,75.66538345098527,75.66538345098527,153,0,New Customer
51,C107,2024-04-19,1,-348.9425531685057,-348.9425531685057,590,1,At-Risk Customer
52,C1070,2025-08-23,18,-304.21567416516683,-16.900870786953714,99,0,New Customer
53,C1071,2025-01-08,18,280.7459429781536,15.596996832119645,326,0,New Customer
54,C1074,2024-09-09,8,2812.650966334636,351.5813707918295,447,1,Occassional Buyer Customer
55,C1075,2025-07-03,50,-5131.492233915266,-102.62984467830533,150,0,Discount Seeker Customer
56,C1076,2025-09-20,108,5824.587408556374,53.9313648940405,71,0,Loyal High-Value Customer
57,C1077,2024-06-28,18,-632.0082195297429,-35.11156775165238,520,1,New Customer
58,C1078,2024-10-20,18,-3193.27529670756,-177.40418315041998,406,1,New Customer
59,C108,2025-03-21,4,-1578.2941414941517,-394.57353537353794,254,0,New Customer
60,C1080,2025-04-19,108,3431.9651813833043,31.777455383178744,225,0,Loyal High-Value Customer
61,C1081,2023-11-03,1,-180.77979827773456,-180.77979827773456,758,1,At-Risk Customer
62,C1082,2025-07-22,18,-1229.5262864879421,-68.30701591599679,131,0,New Customer
63,C1083,2024-09-24,1,79.16451012384759,79.16451012384759,432,1,Occassional Buyer Customer
64,C1084,2024-11-01,1,255.2246975095563,255.2246975095563,394,1,Occassional Buyer Customer
65,C1089,2024-12-18,32,8360.699638046084,261.27186368894013,347,0,Loyal High-Value Customer
66,C109,2024-06-11,1,-110.4721092712943,-110.4721092712943,537,1,New Customer
67,C1090,2025-05-19,18,-2472.4349507087736,-137.35749726159852,195,0,New Customer
68,C1092,2025-08-10,27,-1570.9191828701921,-58.182191958155265,112,0,New Customer
69,C1093,2023-06-17,1,187.7472801126072,187.7472801126072,897,1,Occassional Buyer Customer
70,C1094,2024-11-18,27,1062.4318228125537,39.349326770835326,377,1,Loyal High-Value Customer
71,C1096,2025-05-18,18,-630.6372214999267,-35.03540119444037,196,0,New Customer
72,C1097,2023-05-10,1,-78.33189269549787,-78.33189269549787,935,1,At-Risk Customer
73,C1099,2025-06-23,75,-5568.644090622862,-74.24858787497149,160,0,Discount Seeker Customer
74,C11,2023-11-15,1,-118.30069455241072,-118.30069455241072,746,1,At-Risk Customer
75,C110,2024-07-02,27,-4164.954597312988,-154.25757767825883,516,1,Discount Seeker Customer
76,C1100,2024-11-05,4,-409.35925802555914,-102.33981450638979,390,1,New Customer
77,C1101,2025-05-01,18,1938.2987888576542,107.68326604764746,213,0,Loyal High-Value Customer
78,C1102,2025-01-17,8,221.49296749029793,27.68662093628724,317,0,New Customer
79,C1103,2024-08-16,18,-1118.8117233333871,-62.15620685185484,471,1,New Customer
80,C1104,2025-01-13,1,-156.33846597692894,-156.33846597692894,321,0,New Customer
81,C1105,2025-09-16,27,-1607.1726573651954,-59.52491323574798,75,0,New Customer
82,C1106,2025-05-28,8,1152.6640188462657,144.0830023557832,186,0,Occassional Buyer Customer
83,C1109,2023-04-08,1,266.9643141756004,266.9643141756004,967,1,Occassional Buyer Customer
84,C111,2025-10-20,9,1603.7247378102838,178.19163753447597,41,0,Occassional Buyer Customer
85,C1110,2025-10-07,48,732.0469626428203,15.25097838839209,54,0,Loyal High-Value Customer
86,C1111,2025-01-18,1,210.2392584272773,210.2392584272773,316,0,Occassional Buyer Customer
87,C1112,2025-04-27,1,-87.64032953609664,-87.64032953609664,217,0,New Customer
88,C1113,2025-05-15,27,2154.361197484586,79.79115546239207,199,0,Loyal High-Value Customer
89,C1114,2023-12-07,1,304.2388277485003,304.2388277485003,724,1,Occassional Buyer Customer
90,C1116,2024-01-20,4,-181.35929898867397,-45.33982474716849,680,1,At-Risk Customer
